hour,mean,std,min,max
0,-91.38451183908582,617.6160079189024,-2608.2685570000003,1262.9226099999996
1,-67.50051965131529,595.118462581714,-2305.1337649999996,1363.1182499999995
2,-100.48794266202427,594.8416149735507,-2252.6150180000004,1320.77758
3,-71.48048220606341,565.3290331263732,-2023.975566,1301.6207900000009
4,-99.20742940534515,593.6633729163514,-2486.80821,1449.7610399999994
5,-79.7016323737873,583.3877828214243,-2224.6983179999997,1265.5974999999999
6,-118.5668419384142,696.662308732757,-2864.6912350000002,1526.7779300000002
7,-95.23788725613804,688.0179035475902,-2634.0067610000006,1698.3916000000008
8,-97.34098917853545,693.7296647217894,-3520.95787,1737.5819900000006
9,-82.50632155636194,667.9550128416919,-2684.950729,1810.3482000000004
10,-40.22607657584888,525.579776412984,-2370.945538,1670.6589399999993
11,-65.17075140231529,563.0650811142405,-2456.1863059999996,1516.4140900000002
12,-71.02071671520523,535.71501387713,-3486.6747080000005,1324.2133300000005
13,-54.248520073102604,540.0310045632192,-2888.1982559999997,1387.47415
14,-77.7570524838153,578.1133915171104,-2626.2122400000007,1488.8961400000007
15,-49.36769565672108,595.7669807716949,-2955.8633280000004,1728.9395600000007
16,-94.0417151190112,635.0600114231341,-3420.5950699999994,1482.05818
17,-81.24697541747202,720.377457668102,-3676.714830000001,1883.4572700000008
18,-135.58757276174438,807.0783996335402,-3718.12536,1903.3915100000013
19,-97.3862485215485,813.934925988029,-3993.75172,1923.2065600000005
20,-90.07480509188434,796.7920468686315,-3044.0404879999996,1659.7594900000004
21,-86.36816247826492,771.4373035462514,-2900.5122269999993,1660.39876
22,-93.27484236194033,719.7251146960691,-3068.214634,1582.8467600000004
23,-76.32897266007464,652.1109805330719,-2753.7072230000003,1534.6098500000007
